Brazil,Yongchuan International Tournament
British Virgin Islands,CONCACAF Championship qualification
British Virgin Islands,CONCACAF Gold Cup qualification
British Virgin Islands,CONCACAF Olympic Qualifying Tournament qualification
British Virgin Islands,Friendly
Bulgaria,FIFA World Cup qualification
Bulgaria,Friendly
Bulgaria,Turkish Women's Cup
Bulgaria,UEFA Euro qualification
Bulgaria,UEFA Nations League
Burkina Faso,African Championship qualification
Burkina Faso,African Cup of Nations
Burkina Faso,African Cup of Nations qualification
Burkina Faso,CAF Olympic Qualifying Tournament
Burkina Faso,Friendly
Burkina Faso,WAFU Zone B Cup
Burundi,African Cup of Nations
Burundi,African Cup of Nations qualification
Burundi,CECAFA Championship
Cambodia,AFF Championship
Cambodia,AFF Women's Cup
Cambodia,ASEAN Championship
Cambodia,Friendly
Cambodia,Southeast Asian Games
Cameroon,African Championship
Cameroon,African Championship qualification
Cameroon,African Cup of Nations
Cameroon,African Cup of Nations qualification
Cameroon,African Games
Cameroon,Aisha Buhari Cup
Cameroon,CAF Olympic Qualifying Tournament
Cameroon,COSAFA Championship
Cameroon,FIFA World Cup
Cameroon,FIFA World Cup qualification
Cameroon,Friendly
Cameroon,Olympic Games
Cameroon,Olympic qualification
Canada,Algarve Cup
Canada,Arnold Clark Cup
Canada,Australian Cup
Canada,CONCACAF Championship
Canada,CONCACAF Gold Cup
Canada,CONCACAF Invitational Tournament
Canada,CONCACAF Olympic Qualifying Tournament
Canada,CONCACAF Pre-Olympic Tournament
Canada,Chunghua Cup
Canada,Cyprus Cup
Canada,FIFA Women's Invitation Tournament
Canada,FIFA World Cup
Canada,Four Nations Tournament
Canada,Friendly
Canada,International Tournament
Canada,Olympic Games
Canada,Olympic qualification
Canada,Pan American Games
Canada,Peace Queen Cup
Canada,Pinatar Cup
Canada,SheBelieves Cup
Canada,Tournoi de France
Canada,U.S. Cup
Canada,Yongchuan International Tournament
Cape Verde,African Cup of Nations qualification
Cape Verde,Friendly
Cape Verde,WAFU Zone A Cup
Catalonia,Friendly
Cayman Islands,CONCACAF Championship qualification
Cayman Islands,CONCACAF Gold Cup qualification
Cayman Islands,CONCACAF Olympic Qualifying Tournament qualification
Cayman Islands,CONCACAF Pre-Olympic Tournament qualification
Cayman Islands,Friendly
Central African Republic,African Championship qualification
Central African Republic,African Cup of Nations qualification
Central African Republic,UNIFFAC Cup
Chad,CAF Olympic Qualifying Tournament
Chad,FIFA Unites Women's Series
Chad,UNIFFAC Cup
Chile,Algarve Cup
Chile,Copa América
Chile,FIFA World Cup
Chile,FIFA World Cup qualification
Chile,Friendly
Chile,International Tournament
Chile,Olympic Games
Chile,Olympic qualification
Chile,Pan American Games
Chile,Turkish Women's Cup
China PR,AFC Asian Cup
China PR,AFC Championship
China PR,AFC Olympic Qualifying Tournament
China PR,AFC Olympic qualification
China PR,Algarve Cup
China PR,Asian Games
China PR,Australian Cup
China PR,CONCACAF Gold Cup
China PR,EAFF E-1 Championship
China PR,FIFA Women's Invitation Tournament
China PR,FIFA World Cup
China PR,Four Nations Tournament
China PR,Friendly
China PR,Goodwill Games
China PR,International Tournament
China PR,Mundialito
China PR,Olympic Games
China PR,Pinatar Cup
China PR,U.S. Cup
China PR,Valais Women's Cup
China PR,Yongchuan International Tournament
Colombia,Central American and Caribbean Games
Colombia,Copa América
Colombia,FIFA World Cup
Colombia,Four Nations Tournament
Colombia,Friendly
Colombia,Matchworld Women's Cup
Colombia,Olympic Games
Colombia,Pan American Games
Colombia,SheBelieves Cup
Colombia,Women's Revelations Cup
Comoros,African Championship qualification
Comoros,COSAFA Championship
Comoros,Friendly
Comoros,SAFF Women's Friendly Tournament
Congo,African Championship
Congo,African Championship qualification
Congo,African Cup of Nations qualification
Congo,African Games
Congo,CAF Olympic Qualifying Tournament
Cook Islands,OFC Nations Cup
Cook Islands,Pacific Games
Costa Rica,CONCACAF Championship
Costa Rica,CONCACAF Championship qualification
Costa Rica,CONCACAF Gold Cup
Costa Rica,CONCACAF Gold Cup qualification
Costa Rica,CONCACAF Olympic Qualifying Tournament
Costa Rica,CONCACAF Olympic Qualifying Tournament qualification
Costa Rica,CONCACAF Pre-Olympic Tournament
Costa Rica,Central American Games
Costa Rica,Central American and Caribbean Games
Costa Rica,FIFA World Cup
Costa Rica,Friendly
Costa Rica,International Tournament
Costa Rica,Istria Cup
Costa Rica,Pan American Games
Costa Rica,Women's Revelations Cup
Croatia,Cyprus Cup
Croatia,FIFA World Cup qualification
Croatia,Friendly
Croatia,Istria Cup
Croatia,Slavic Cup
Croatia,UEFA Euro qualification
Croatia,UEFA Nations League
Cuba,CONCACAF Championship
Cuba,CONCACAF Championship qualification
Cuba,CONCACAF Gold Cup qualification
Cuba,CONCACAF Olympic Qualifying Tournament
Cuba,CONCACAF Olympic Qualifying Tournament qualification
Cuba,Friendly
Curaçao,CONCACAF Championship qualification
Curaçao,CONCACAF Gold Cup qualification
Curacao,Caribbean Queen's Friendly Tournament
Cyprus,Aphrodite Cup
Cyprus,FIFA World Cup qualification
Cyprus,Friendly
Cyprus,UEFA Euro qualification
Cyprus,UEFA Nations League
Czech Republic,Australian Cup
Czech Republic,Cup of Nations
Czech Republic,Cyprus Cup
Czech Republic,FIFA World Cup qualification
Czech Republic,Friendly
Czech Republic,SheBelieves Cup
Czech Republic,Slavic Cup
Czech Republic,UEFA Euro qualification
Czech Republic,UEFA Nations League
Czechoslovakia,FIFA Women's Invitation Tournament
Czechoslovakia,UEFA Euro qualification
DR Congo,African Championship
DR Congo,African Championship qualification
DR Congo,African Cup of Nations
DR Congo,African Cup of Nations qualification
DR Congo,CAF Olympic Qualifying Tournament
DR Congo,Friendly
DR Congo,UNIFFAC Cup
Denmark,Algarve Cup
Denmark,FIFA World Cup
Denmark,FIFA World Cup qualification
Denmark,Friendly
Denmark,Goodwill Games
Denmark,International Tournament
Denmark,Matchworld Women's Cup
Denmark,Mundialito
Denmark,Nordic Championship
Denmark,Olympic Games
Denmark,Peace Queen Cup
Denmark,Tournoi de France
Denmark,UEFA Euro
Denmark,UEFA Euro qualification
Denmark,UEFA Nations League
Denmark,UEFA Olympic Qualifying Tournament
Denmark,Yongchuan International Tournament
Djibouti,African Championship qualification
Djibouti,African Cup of Nations qualification
Djibouti,CECAFA Championship
Djibouti,Friendly
Dominica,CONCACAF Championship qualification
Dominica,CONCACAF Gold Cup qualification
Dominica,CONCACAF Olympic Qualifying Tournament qualification
Dominica,Windward Islands Tournament
Dominican Republic,CONCACAF Championship qualification
Dominican Republic,CONCACAF Gold Cup qualification
Dominican Republic,CONCACAF Olympic Qualifying Tournament
Dominican Republic,CONCACAF Olympic Qualifying Tournament qualification
Dominican Republic,CONCACAF Pre-Olympic Tournament qualification
Dominican Republic,Central American and Caribbean Games
Dominican Republic,Friendly
Ecuador,Copa América
Ecuador,FIFA World Cup
Ecuador,Friendly
Ecuador,Pan American Games
Egypt,African Championship
Egypt,African Championship qualification
Egypt,African Cup of Nations
Egypt,African Cup of Nations qualification
Egypt,Arab Championship
Egypt,Arab Cup
Egypt,CAF Olympic Qualifying Tournament
Egypt,Friendly
Egypt,UNAF Tournament
El Salvador,CONCACAF Championship qualification
El Salvador,CONCACAF Gold Cup qualification
El Salvador,CONCACAF Olympic Qualifying Tournament qualification
El Salvador,Central American Games
El Salvador,Central American and Caribbean Games
El Salvador,Friendly
England,Algarve Cup
England,Arnold Clark Cup
England,Cyprus Cup
